Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
14,DeMar DeRozan,TOR,28,80,57,23,33.9,23,8.1,17.7,45.6,1.1,3.6,31,5.8,7,82.5,0.7,3.2,3.9,5.2,2.2,1.1,0.3,1.9,37.4,0,0,5.5
15,Joel Embiid,PHI,24,63,41,22,30.4,22.9,8.1,16.8,48.3,1,3.4,30.8,5.7,7.4,76.9,2.3,8.7,11,3.2,3.7,0.6,1.8,3.3,44.3,38,0,7.7
16,Kristaps Porzingis,NYK,22,48,22,26,32.4,22.7,8.1,18.5,43.9,1.9,4.8,39.5,4.5,5.7,79.3,1.3,5.3,6.6,1.2,1.9,0.8,2.4,2.9,39.8,5,0,0.3
17,Bradley Beal,WAS,25,82,43,39,36.3,22.6,8.3,18.1,46,2.4,6.5,37.5,3.6,4.5,79.1,0.7,3.7,4.4,4.5,2.6,1.2,0.4,2,37,4,0,2.2
18,Lou Williams,LAC,31,79,42,37,32.8,22.6,7.4,16.9,43.5,2.4,6.6,35.9,5.5,6.2,88,0.5,2,2.5,5.3,3,1.1,0.2,1.3,34.5,7,0,1.5
19,Jimmy Butler,MIN,28,59,37,22,36.7,22.2,7.4,15.6,47.4,1.2,3.4,35,6.2,7.2,85.4,1.3,4,5.3,4.9,1.8,2,0.4,1.3,41.1,3,0,6.3
20,Kemba Walker,CHA,28,80,36,44,34.2,22.1,7.4,17,43.1,2.9,7.5,38.4,4.5,5.3,86.4,0.4,2.7,3.1,5.6,2.2,1.1,0.3,1.2,36.2,3,0,2.6
21,Paul George,OKC,28,79,47,32,36.6,21.9,7.3,17,43,3.1,7.7,40.1,4.3,5.2,82.2,0.9,4.7,5.7,3.3,2.7,2,0.5,2.9,38.6,4,0,2.9
22,Blake Griffin,DET,29,58,28,30,34,21.4,7.5,17.2,43.8,1.9,5.6,34.5,4.5,5.7,78.5,1.3,6.1,7.4,5.8,2.8,0.7,0.3,2.4,39.1,16,3,1
23,CJ McCollum,POR,26,81,48,33,36.1,21.4,8.2,18.6,44.3,2.3,5.9,39.7,2.6,3.1,83.6,0.7,3.3,4,3.4,1.9,1,0.4,2.1,33.5,1,0,1.5
24,Karl-Anthony Towns,MIN,22,82,47,35,35.6,21.3,7.8,14.3,54.5,1.5,3.5,42.1,4.2,4.9,85.8,2.9,9.4,12.3,2.4,1.9,0.8,1.4,3.5,44.3,68,0,4.5
25,Donovan Mitchell,UTA,21,79,46,33,33.4,20.5,7.5,17.2,43.7,2.4,7,34,3,3.8,80.5,0.7,3.1,3.7,3.7,2.7,1.5,0.3,2.7,33.3,0,0,4.5
26,Khris Middleton,MIL,26,82,44,38,36.4,20.1,7.2,15.5,46.6,1.8,5,35.9,3.9,4.4,88.4,0.5,4.7,5.2,4,2.3,1.5,0.3,3.3,35.2,5,1,1.2
27,MarShon Brooks,MEM,29,7,2,5,27.5,20.1,7.3,14.6,50,2.7,4.6,59.4,2.9,3.3,87,1.1,1.9,3,3.6,2.3,1.6,0.4,0.9,32.8,0,0,1.4
28,Klay Thompson,GSW,28,73,55,18,34.3,20,7.9,16.1,48.9,3.1,7.1,44,1.1,1.3,83.7,0.4,3.4,3.8,2.5,1.8,0.8,0.5,1.6,30.3,2,0,5.4
29,T.J. Warren,PHX,24,65,18,47,33,19.6,8.1,16.4,49.8,0.3,1.4,22.2,3,3.9,75.7,1.9,3.2,5.1,1.3,1.3,1,0.6,2.3,31.2,6,0,-6.6
30,John Wall,WAS,27,41,23,18,34.4,19.4,6.8,16.3,42,1.5,4.1,37.1,4.3,5.9,72.6,0.5,3.1,3.7,9.6,3.9,1.4,1.1,2,41.8,19,0,3.1
31,Tyreke Evans,MEM,28,52,19,33,30.9,19.4,7,15.6,45.2,2.2,5.5,39.9,3.2,4,78.5,0.8,4.3,5.1,5.2,2.3,1.1,0.3,1.8,35.3,7,0,0.5
32,Dennis Schroder,ATL,24,67,21,46,31,19.4,7.5,17.1,43.6,1.1,3.9,29,3.4,4,84.9,0.7,2.4,3.1,6.2,2.7,1.1,0.1,2.2,33.2,5,0,-4.1
33,Jrue Holiday,NOP,28,81,47,34,36.1,19,7.6,15.4,49.4,1.5,4.4,33.7,2.3,2.9,78.6,0.8,3.7,4.5,6,2.6,1.5,0.8,2.5,37.7,8,1,3.9
34,Harrison Barnes,DAL,26,77,24,53,34.2,18.9,7,15.7,44.5,1.5,4.3,35.7,3.4,4.1,82.7,1,5.1,6.1,2,1.5,0.6,0.2,1.2,30,8,0,-4.2
35,Chris Paul,HOU,33,58,50,8,31.8,18.6,6.3,13.8,46,2.5,6.5,38,3.5,3.8,91.9,0.6,4.8,5.4,7.9,2.2,1.7,0.2,2.4,40.4,14,1,8.6
36,Tobias Harris,LAC,25,80,39,41,33.3,18.6,7,15.3,46,2.3,5.6,41.1,2.2,2.7,82.9,0.7,4.7,5.5,2.4,1.3,0.9,0.4,2.1,31.4,3,0,-1.4
37,Nikola Jokic,DEN,23,75,43,32,32.6,18.5,6.7,13.5,49.9,1.5,3.7,39.6,3.5,4.2,85,2.6,8.1,10.7,6.1,2.8,1.2,0.8,2.8,43.7,38,10,4.7
38,Eric Gordon,HOU,29,69,55,14,31.2,18,6,14.1,42.8,3.2,8.8,35.9,2.8,3.5,80.9,0.4,2.1,2.5,2.2,1.9,0.6,0.4,1.7,25.5,0,0,8.5
39,Jeremy Lin,BKN,29,1,0,1,25.2,18,5,12,41.7,1,2,50,7,7,100,0,0,0,4,3,0,0,3,21,0,0,-6
40,Evan Fournier,ORL,25,57,20,37,32.2,17.8,6.5,14.1,45.9,2.2,5.9,37.9,2.6,3,86.7,0.4,2.8,3.2,2.9,1.7,0.8,0.3,2.4,27.6,0,0,-2.1
